SMILES	MolWt	LogP	HBD	HBA	RotatableBonds	TPSA	Volume	LipinskiViolations	NumAtoms
O=C(N[C@@H]1CNCCC[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1	550.52	2.15	7	10	7	202.72	331.42	2	40
Cc1ccccc1-n1c(Cn2nc(-c3cccc(O)c3)c3c(N)ncnc32)nc2cccc(C)c2c1=O	489.54	4.15	2	9	4	124.74	294.69	0	37
COc1cc(Nc2nn3c(NC[C@H](C)N)cc(C)nc3c2C(N)=O)cc(OC)c1	399.46	1.66	4	9	8	141.82	240.48	0	29
O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc5c(ccn5S(=O)(=O)c5ccsc5)c4)c3s2)C1)N1CCOCC1	634.76	4.24	2	12	5	127.68	382.0	2	43
CC(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5[nH]ncc5c4)n3)c3ccccc23)n(-c2cccc(OCCN3CCOCC3)c2)n1	724.83	7.71	4	11	12	156.37	436.34	3	54
COc1cc(C)cc2cc(-c3c(CN4CCC(O)CC4)c(CN4CCNCC4)n4ncnc(N)c34)sc12	521.69	2.87	3	10	6	104.18	314.01	1	37
O=C(/C=C/c1cccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)c1)NO	540.98	6.93	3	6	8	96.37	325.38	2	39
COc1cc2nc(C)nc(N[C@H](C)c3ccccc3)c2cc1OC	323.4	4.13	1	5	5	56.27	194.68	0	24
C=CC(=O)Nc1cccc(Oc2nc(Nc3cccc(OC)c3)nc3c2CSCC3)c1	434.52	4.93	2	7	7	85.37	261.53	0	31
Cc1ccc(NC(=O)c2ccc(/C=C/C(=O)NO)s2)cc1Nc1ncc(-c2cccnc2)s1	477.57	5.09	4	8	7	116.24	287.41	1	33
Cc1cn(-c2cc(NC(=O)c3ccc(C)c(/C=C/n4cnc5c(NC6CC6)ncnc54)c3)cc(C(F)(F)F)c2)cn1	558.57	6.1	2	8	7	102.55	336.27	2	41
c1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1	348.45	6.2	0	2	3	15.6	209.74	1	27
Nc1c(-c2nc3ccccc3[nH]2)c(O)nc2cnccc12	277.29	2.46	3	5	1	100.71	166.93	0	21
O=[N+]([O-])c1ccc2c(Nc3cccc(F)c3)ncnc2c1	284.25	3.42	1	5	3	80.95	171.13	0	21
CC(=O)Nc1cc(-c2ccc(F)cc2F)cc(-n2cnc3cc(-c4cnn(C)c4)cnc32)c1	444.45	4.72	1	6	4	77.63	267.56	0	33
COc1ccc(N2CCC(N3CCCCC3)CC2)cc1Nc1nccc(-c2c(-c3ccc(OC)c(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1	744.85	8.2	2	10	10	109.15	448.39	2	55
COc1cc2ncnc(Oc3ccc(NC(=O)Nc4cccc(Br)c4)cc3)c2cc1OC	495.33	5.85	2	6	6	94.6	297.63	1	32
C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCN(C)CC1	509.61	4.42	2	8	7	87.55	306.78	1	38
Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(Cl)c2)cc1C#Cc1cnc2cccnn12	529.04	3.45	2	7	6	86.0	318.2	1	38
COc1ccc2c(Oc3cnc(CC(=O)Nc4cn(C)nc4C)c(OC)c3)ccnc2c1	433.47	3.66	1	8	7	100.39	260.95	0	32
O=C1CSC(NN=C2CCCCCCC2)=N1	239.34	2.31	1	4	1	53.82	144.04	0	16
Nc1cccc2c(Nc3cccc(Br)c3)ncnc12	315.17	3.72	2	4	2	63.83	189.17	0	19
Nc1nc(Nc2ccc(Br)cc2)c2c(n1)-c1ccccc1C2	353.22	4.14	2	4	2	63.83	212.07	0	22
C=CC(=O)Nc1cccc(OCC)c1Nc1ncc(OCc2c(Cl)c(OC)cc(OC)c2Cl)cn1	519.39	5.65	2	8	11	103.83	312.12	2	35
COc1ccc2nc3sc(C(=O)Nc4ccc(C(=O)/C=C/c5cc(OC)c(OC)c(OC)c5)cc4)cc3cc2c1	554.62	6.63	1	8	9	95.98	333.83	2	40
COc1cccc(-c2nn(C(C)C)c3ncnc(N)c23)c1	283.34	2.67	1	6	3	78.85	170.57	0	21
CN1CCN(c2cc(F)c3c(c2)nc(Cc2ccc4c(c2)OCO4)n2nc(N)nc32)CC1	435.46	2.07	1	9	3	94.04	262.16	0	32
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(CCCN2CCCCC2)C(=O)CO4)c1	441.54	3.96	1	6	6	70.59	265.79	0	33
COc1cc2nc(N3CCOCC3)nc(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)c2cc1OC	570.65	4.63	1	9	7	101.52	343.53	1	42
O=C(NO)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1Cl	440.89	3.57	4	8	6	111.64	265.14	0	31
Cc1nc2cc(-n3ncc(C(=O)c4cc5cc6c(cc5[nH]4)OCCO6)c3N)ccc2[nH]1	414.43	3.12	3	7	3	123.84	249.48	0	31
NP(=O)(OCCCCOc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1)N(CCCl)CCCl	670.94	7.77	2	7	17	111.83	403.09	2	43
Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccnc4[nH]c(-c5ccccc5)cc34)[nH]2)cc1	446.49	6.8	3	3	4	77.59	268.77	1	34
Cc1cc(-c2ccc(NC(=O)Nc3cccc(Cl)c3)cc2)c2c(N)onc2n1	393.83	5.08	3	5	3	106.07	236.81	1	28
COc1ncc(Cl)c(Nc2ncnc3cc(OCCN4CCN(C(C)=O)CC4)cc(OC(C)C)c23)n1	516.0	3.16	1	10	9	114.83	310.36	1	36
Nc1ncnc2c1c(-c1cccc(O)c1)cn2C1CCCC1	294.36	3.5	2	5	2	76.96	177.2	0	22
CN1CCN(c2ccc(-c3ccc4c(=O)n(C(C(=O)Nc5nccs5)c5ccccc5)cnc4c3)cc2)CC1	536.66	4.5	1	8	6	83.36	323.01	1	39
COc1ccc(-c2ccc(OC(F)(F)F)c(NC(=O)Nc3nccs3)c2)cn1	410.38	4.76	2	6	5	85.37	247.03	0	28
COc1cc(N2CCC(CCS(C)(=O)=O)CC2)c(C)cc1Nc1nccc(-c2c(-c3ccc(OC)c(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1	781.89	7.71	2	11	12	140.05	470.65	3	56
O=C(C#CCCN1CCOCC1)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1	453.91	3.83	2	6	5	79.38	272.97	0	32
CCNS(=O)(=O)c1ccccc1Nc1ncnc(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)n1	581.75	2.88	3	11	10	127.85	350.17	2	41
O=C(OCCN1CCCCC1)c1cc2ccccc2n1Cc1ccccc1	362.47	4.33	0	4	6	34.47	218.19	0	27
CCOc1ccc2cc(-c3nn(C4CCNCC4)c4ncnc(N)c34)ccc2c1.Cl	424.94	3.97	2	7	4	90.88	255.53	0	30
COCCOc1cc2ncnc(Nc3ccc(OCc4ccccn4)cc3)c2cc1NC(=O)/C=C/CN(C)C	528.61	4.43	2	9	13	110.73	318.22	1	39
COc1cc2c(Nc3ccc(NC(=O)Nc4ccccc4C)cc3)ncnc2cc1OCc1ccccc1	505.58	6.91	3	6	8	97.4	304.34	2	38
CC1=CCC[C@H]2[C@](C)(CC3=C(O)C(=O)C=C(NCCC(C)C)C3=O)[C@@H](C)CC[C@@]12C	413.6	5.66	2	4	6	66.4	248.97	1	30
C=CC(=O)Nc1cccc(-n2c(=O)cnc3cnc(Nc4ccc(N5CCOCC5)cc4)nc32)c1	469.51	2.88	2	9	6	114.27	282.64	0	35
CO[C@@H]1CCN(c2cc(NC(=O)N3CCCc4cc(CN5CCOC5=O)c(C=O)nc43)ncc2C#N)C1	505.54	2.32	1	9	6	140.99	304.34	1	37
COc1cc(Nc2ncc3c(=O)n(-c4c(C)cccc4C)c4nc5ccccc5n4c3n2)cc(OC)c1OCCN1CCOCC1	621.7	4.67	1	12	9	117.27	374.26	2	46
CC(C)OC(=O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1	356.33	3.14	3	7	3	117.2	214.51	0	26
COc1cc2ncnc(Nc3ccc(-c4nc5ccccc5s4)cc3F)c2cc1OCCCN1CCN(C)CC1	558.68	5.81	1	9	9	75.64	336.28	2	40
Clc1ccc(-c2ccc(-c3nccn3-c3ccc(N4CCNCC4)cc3)o2)cc1	404.9	4.86	1	5	4	46.23	243.46	0	29
CCN1CC(c2ccc(C(=O)Nc3cc(Oc4cc5ccn(C(=O)NC)c5cc4OCCCOC)ccn3)cc2)C1	557.65	5.1	2	8	11	106.95	335.7	2	41
COc1ccccc1Oc1cc(NC(=O)N2CCCc3cc(CN4CCOCC4=O)c(C=O)nc32)ncc1C#N	542.55	3.31	1	9	7	146.98	326.62	1	40
O=C(/C=C/c1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1)NO	530.94	6.52	3	7	8	109.51	319.35	2	38
COc1cc(OC)cc(N(Cc2cc3ncccc3n2C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1	505.58	5.27	0	9	7	83.12	304.35	2	38
COc1cc(OC)cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(CCCCCCC(=O)NO)c4)nc3c2)c1	575.71	5.1	3	10	16	126.66	346.58	2	42
Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21	518.42	6.93	2	6	5	80.65	312.13	2	37
CN(C)CCCc1c(/C=C2\C(=O)Nc3ccc(S(C)(=O)=O)cc32)[nH]c2c1CCCC2	427.57	3.28	2	4	6	82.27	257.35	0	30
O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1	587.71	6.28	2	9	8	96.68	353.74	2	43
Cc1nc2cc(-n3ncc(C(=O)c4cc5ccc(I)cc5[nH]4)c3N)ccc2[nH]1	482.29	3.96	3	5	3	105.38	290.38	0	28
Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1ncccc1-c1ccncn1	449.44	5.86	2	5	5	79.8	270.57	1	33
CN1CCN(Cc2ccc(-c3cnc4[nH]cc(-c5ccc6[nH]ccc6c5)c4c3)cc2)CC1	421.55	5.13	2	3	4	50.95	253.75	1	32
O=C(CCCOc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1)NO	390.8	3.83	3	6	7	96.37	234.99	0	27
COc1cc2ncnc3c2cc1OCCOCCOc1cccc(c1)N3	353.38	3.17	1	7	1	74.73	212.73	0	26
COc1cc(C(=O)N2CCCC2)cc(N(CCCN2CCCC2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1	539.68	4.9	0	8	9	79.62	324.88	1	40
COC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1Cl.Cl	425.27	4.64	2	7	5	94.6	255.46	0	28
N#CCNCc1ccc(-c2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)o1	519.99	6.68	2	8	9	96.0	312.71	2	36
COc1cc(OC)cc(N(Cc2nccn2C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1	455.52	4.12	0	9	7	83.12	274.22	0	34
Nc1ccc(-c2cc3c(Nc4ccc(Oc5cccc(C(F)(F)F)c5)c(Cl)c4)ncnc3s2)cc1	512.94	8.15	2	6	5	73.06	308.48	2	35
CCOC(=O)CN(c1cc(OC)cc(OC)c1)c1ccc2ncc(-c3cnn(C)c3)nc2c1	447.5	3.75	0	9	8	91.6	269.39	0	33
Cc1ccc(-c2cc(C(=O)Nc3ccc(OC(F)(F)F)cc3)cnc2N2CC[C@H](N)C2)cn1	457.46	4.14	2	6	5	93.37	275.41	0	33
Cc1cc2c(Nc3nc4ccc(OCC(F)(F)F)cc4s3)c(C#N)cnc2cc1OCCCN1CCN(C)CC1	570.64	5.73	1	9	9	86.54	343.5	2	40
COc1cc(-c2nc(-c3c[nH]c4ccccc34)c(C)[nH]c2=O)cc(OC)c1OC	391.43	3.92	2	5	5	89.23	235.63	0	29
COc1ccc2cc(-c3n[nH]c4cccnc34)[nH]c2c1	264.29	3.11	2	3	2	66.59	159.1	0	20
C=CC(=O)Nc1cc(C)cc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1	539.64	4.03	2	9	7	104.62	324.86	1	40
CC(C)(C)c1cc2cc(Nc3ncnc4ccc(N)cc34)ccc2[nH]1	331.42	4.73	3	4	2	79.62	199.51	0	25
C#Cc1cccc(Oc2ncnc3ccc(OCc4ccc(S(=O)(=O)N(C)C#C)cc4)cc23)c1	469.52	4.19	0	6	7	81.62	282.6	0	34
COC(=O)C(O)(O)C(=O)c1ccccc1	210.19	-0.28	2	5	3	83.83	126.54	0	15
O=C(/C=C/CN1CCCOCC1)N1CCc2c(sc3ncnc(Nc4ccc(F)c(Cl)c4)c23)C1	502.02	4.39	1	7	5	70.59	301.89	1	34
Cc1ccc(NC(=O)Nc2ccc(-c3nsc(N)c3C(N)=O)cc2)cc1	367.43	3.44	4	5	4	123.13	221.15	0	26
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCOCC1	402.86	4.01	1	6	5	59.51	242.24	0	28
O=c1c2cnn(-c3ccccc3)c2n2c(Nc3ccccc3)nnc2n1-c1ccccc1	419.45	3.96	1	8	4	82.04	252.5	0	32
COc1cc(ON2CCC(C)CC2)c2c(Nc3ccc(OCc4ccccn4)c(Cl)c3)ncnc2c1	506.01	6.04	1	8	8	81.63	304.33	2	36
COc1ccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1	380.84	4.37	3	6	6	87.75	228.99	0	27
CC1=NNC2=NC(=O)NC(c3ccccc3Br)C12	307.15	2.21	2	3	1	65.85	184.34	0	18
COc1cc(C2CCN(C3CCN(CCS(C)(=O)=O)CC3)CC2)ccc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1	820.97	7.43	2	11	12	134.06	494.18	3	59
CC(C)n1nc(-c2cc3cc(C=O)ccc3s2)c2c(N)ncnc21	337.41	3.68	1	7	3	86.69	203.07	0	24
O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)nn1)NO	590.06	6.46	3	9	13	127.08	354.94	2	42
CN1CCN(c2nc(Oc3ccc4ccc(=O)[nH]c4c3)c3sccc3n2)CC1	393.47	3.08	1	7	3	74.35	236.82	0	28
O=C(Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1F)c1cc([N+](=O)[O-])ccc1F	473.8	5.6	2	6	5	110.05	284.97	1	33
COc1cc2ncnc3c2cc1OCCOCCOCCOc1ccc(Cl)cc1N3	431.88	3.84	1	8	1	83.96	259.71	0	30
COc1cc(OC)cc(N(CCCNC(=O)C(C)(O)C(F)(F)F)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1	558.56	4.01	2	9	10	114.63	336.28	1	40
COc1cc(OC)cc(N(CCCN2CCS(=O)(=O)CC2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1	536.66	3.31	0	10	9	102.68	323.02	1	38
O=C(NCCc1ccc(O)c(Br)c1)/C(Cc1cc(Br)c(O)c(-c2cc(C/C(=N/O)C(=O)NCCc3ccc(O)c(Br)c3)cc(Br)c2O)c1)=N\O	942.25	6.69	8	10	13	204.3	564.99	3	50
CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC.Cl	424.73	5.36	1	5	6	56.27	254.84	1	25
C=CC(=O)N(C)Cc1c[nH]c2ncnc(-c3cccc(NC(=O)c4ccc(C(C)(C)C)cc4)c3C)c12	481.6	5.63	2	4	6	90.98	289.91	1	36
COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2cccc(NC(=O)/C=C/C3CC3)c2)n1	535.05	5.33	2	8	9	91.85	321.82	2	38
CC(C)(NC(=O)CCc1ccc(OS(=O)(=O)C(F)(F)F)c(P(=O)(O)O)c1)c1ccc(OCC2CCCCC2)c(C(N)=O)c1	650.61	3.76	4	7	12	182.32	391.67	1	43
Cc1nn(C)c2nnc(Nc3ccc(S(=O)(=O)N4CCN(C)CC4)cc3)nc12	402.48	0.75	1	9	4	109.14	242.26	0	28
N#CCC(=O)Nc1nc(-c2ccc(Cl)c(Cl)c2)ns1	313.17	3.36	1	5	3	78.67	187.93	0	19
COc1ccc(Nc2nnc(-c3c(NCc4ccncc4)ncn3C)o2)cc1OC	407.43	3.24	2	10	8	112.15	245.28	0	30
Nc1cc2ncnc(NCc3cccc([N+](=O)[O-])c3)c2cn1	296.29	2.13	2	7	4	119.86	178.37	0	22
COc1cc(OC)cc(N(CCNS(=O)(=O)C(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1	510.62	3.51	1	9	10	111.47	307.35	1	36
CCOc1cc2c(ccn2C(=O)NC)cc1Oc1ccnc(NC(=O)c2ccc(C3CCN(CC(C)(C)O)CC3)cc2)c1	585.71	5.62	3	8	9	117.95	352.59	2	43
O=C1N=C(N2CCC[C@H]2C(=O)Nc2ccc3ncnc(Nc4cccc(Cl)c4)c3c2)S/C1=C/c1ccc(Br)s1	639.99	6.92	2	8	5	99.58	384.34	2	39
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C	398.48	3.33	3	3	7	77.23	239.89	0	29
C#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1	368.19	3.1	2	5	3	79.8	221.09	0	23
Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#Cc1ccc(CN2CCCC2)s1	533.07	6.96	1	6	7	50.28	320.57	2	37
CN1CCN(Cc2ccc(NC(=O)c3ccc(Br)c(-n4cc(-c5cnc6[nH]ncc6c5)nn4)c3)cc2C(F)(F)F)CC1	640.47	4.99	2	8	6	107.86	385.02	1	42
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C4CC4)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	525.66	5.31	2	8	11	87.55	316.44	2	39
CCCCC(O)CN(C)[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4	566.7	5.62	2	7	7	80.89	341.14	2	42
COc1cccc(Nc2cc(N3CCN(C(=O)Nc4ccc(C(F)(F)F)cc4)CC3)ncn2)c1	472.47	4.6	2	6	5	82.62	284.45	0	34
Fc1ccc(Nc2nncc3ccccc23)cc1	239.25	3.51	1	3	2	37.81	144.03	0	18
Cc1ccc2nc(Oc3ccc(Cl)cc3)c(/C=N/NC(=O)Cn3c([N+](=O)[O-])cnc3C)cc2c1	478.9	4.55	1	8	7	124.54	288.02	0	34
Oc1nc2cnccc2c(O)c1-c1nc2ccccc2[nH]1	278.27	2.58	3	5	1	94.92	167.52	0	21
CCOc1cc(N2CCC(N3CCN(CCC(F)(F)F)CC3)CC2)ccc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1	825.89	8.67	2	10	12	103.16	497.2	2	60
COc1c(CO)cccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1	391.5	5.03	2	6	6	67.27	235.62	1	28
COc1cn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c2c1COC[C@@H]1CNCCO1	517.57	3.52	2	10	9	99.76	311.58	1	38
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccc(-c2ncc(C(F)(F)F)[nH]2)nc1	626.61	6.22	2	5	5	77.15	377.24	2	45
C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccccc2N2CCN(C)CC2)ncc1C(=O)Nc1c(C)cccc1Cl	597.12	6.05	4	8	9	114.52	359.18	2	43
O=C(O)C1CN(Cc2ccc(OCc3ccc(Cl)c(Cl)c3)cc2)C1	366.24	4.09	1	3	6	49.77	219.91	0	24
COc1cc2c(Oc3ccc(NC(=O)NS(=O)(=O)Cc4ccc(F)cc4)cc3F)ccnc2cc1OCCCN1CCCC1	626.68	5.83	2	8	12	119.09	377.23	2	44
COc1cc(CCN2CCCCC2)c(F)cc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4c(F)cc(F)cc4F)c3)nc3ccccn23)n1	695.72	8.05	2	8	10	96.68	418.83	2	51
CC(C)(C)OC(=O)NCC(=O)Oc1c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c2c1=O	459.41	2.71	5	10	4	175.76	276.58	0	33
CC(C)(C)c1ccc(NC(=O)c2nnnn2CCc2ccncc2)cc1	350.43	2.86	1	6	5	85.59	210.96	0	26
Cc1nc2cc(-n3ncc(C(=O)c4cc5c(NC(CO)CO)cccc5[nH]4)c3N)ccc2[nH]1	445.48	2.12	6	8	7	157.87	268.18	1	33
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)cc(NS(C)(=O)=O)c4OC)c4ccccc34)n2)cc(C(=O)NCCOCCOCCOC)c1	839.97	6.88	5	12	19	200.36	505.62	3	60
Cc1cc(-c2c(Cl)cccc2Cl)cc2nnc(N)nc12	305.17	3.89	1	4	1	64.69	183.15	0	20
CCc1ccc(-c2cc(C(=O)Nc3ccc(OC(F)(F)F)cc3)cnc2N2CC[C@H](CO)C2)cn1	486.49	4.68	2	6	7	87.58	292.88	0	35
N=c1oc2cc(O)cc(O)c2cc1C(=O)Nc1cccc(O)c1	312.28	2.28	5	6	2	126.78	188.0	0	23
CC(C)NCCN(c1cc(Cl)cc(Cl)c1)c1ccc2ncc(-c3cnn(C)c3)nc2c1	455.39	5.47	1	6	7	58.87	273.58	1	31
Cc1cn(-c2cc(NC(=O)c3ccc(C)c(-n4cc(-c5cnc6[nH]ncc6c5)nn4)c3)cc(C(F)(F)F)c2)cn1	543.51	5.28	2	8	5	119.2	327.21	2	40
CNC(=O)n1ccc2cc(Oc3ccnc(NC(=O)c4ccc(C5CCN(C)CC5)cc4)c3)c(OCCCF)cc21	559.64	5.82	2	7	9	97.72	336.9	2	41
COc1cc(OC)c2c(=O)c(-c3cccc(Cl)c3)coc2c1	316.74	4.13	0	4	3	48.67	190.39	0	22
CC(C)Nc1ncnc2oc(-c3ccc(OCCN4CCCC4)cc3)c(-c3ccccc3)c12	442.56	5.85	1	6	8	63.42	266.41	1	33
CCN1CCN(Cc2ccc(NC(=O)CNc3ccc(-c4ccc(NC(=O)C5CC5)nc4)cc3)cc2C(F)(F)F)CC1	580.66	5.3	3	6	10	89.6	349.56	2	42
Nc1ccc2ncnc(Nc3ccc4c(ccn4Cc4cccc(F)c4)c3)c2c1	383.43	5.1	2	5	4	68.76	230.82	1	29
C=CC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OCCN4CCOCC4)cc23)cc1	449.51	3.22	2	8	9	97.84	270.61	0	33
COc1ccc(Cl)c(Nc2ncnc3cc(OCCCN4CCCC4)cc(OC(C)C)c23)n1	471.99	5.08	1	8	10	81.63	283.86	1	33
C=CC(=O)Nc1cccc(-n2c(=O)c(C(C)(C)C)nc3cnc(Nc4ccc(OCCOC)cc4)nc32)c1	514.59	4.37	2	9	9	120.26	309.78	1	38
Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(CN(CCO)C(C)C)cc3)nc12	478.0	5.31	3	7	8	94.4	287.47	1	34
COc1ccc2c(Nc3cccc(Br)c3)ncnc2n1	331.17	3.54	1	5	3	59.93	198.8	0	20
CNC(=O)n1ccc2cc(Oc3ccnc(NC(=O)c4ccc(CN5C[C@@H](C)N[C@@H](C)C5)s4)c3)c(OC)cc21	548.67	4.52	3	9	7	109.75	330.25	1	39
O=C(/C=C/CNC1CC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1	497.96	4.58	3	7	9	97.4	299.5	0	35
Nc1ncnc2c1c(-c1ccccc1)cn2C1CCNC1	279.35	2.21	2	5	2	68.76	168.16	0	21
Oc1cccc(Nc2ccnc3[nH]c4ccccc4c23)c1	275.31	4.17	3	3	2	60.94	165.73	0	21
N#CCc1nnc(Cc2nc3ccccc3[nH]2)o1	239.24	1.6	1	5	3	91.39	144.02	0	18
C=CC(=O)Nc1cc2c(Nc3ccc(NC(=O)C=C)c(C(F)(F)F)c3)ncnc2cc1O[C@H]1CCOC1	513.48	4.81	3	7	8	114.47	309.13	1	37
Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2CC1CCNCC1	358.83	2.43	3	7	3	101.88	215.74	0	25
N#Cc1ccc(F)c(C(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cc2OCCCN2CCOCC2)c1	579.01	5.53	2	8	9	112.4	348.29	2	41
CC(=O)NC[C@H]1CC[C@H](c2nc(-c3cc4ccccc4[nH]3)c3c(N)nccn32)CC1	402.5	3.87	3	5	4	101.1	242.3	0	30
CCN(CCO)c1ncc(C(=O)Nc2ccc(SC(F)(F)F)cc2)cc1-c1cncc(F)c1	480.49	4.97	2	6	8	78.35	289.23	0	33
Nc1ncnc2c1c(-c1ccc3[nH]ccc3c1)nn2C1CCCC1	318.38	3.67	2	5	2	85.41	191.66	0	24
N#Cc1cnc2cc3[nH]cnc3cc2c1Nc1ccc(Cl)cc1Br	398.65	5.14	2	4	2	77.39	239.14	1	24
CN(C)CCCc1ccc(C(F)(F)F)c(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=S)C3)c1	506.0	6.35	2	5	6	53.08	304.3	2	34
O=C1Nc2ccccc2/C1=C\c1ccco1	211.22	2.77	1	2	1	42.24	127.15	0	16
Cc1c(C(=O)NC(CO)Cc2ccccc2)[nH]c2ccc(Cl)cc12	342.83	3.46	3	2	5	65.12	206.09	0	24
COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccc(NC(=O)CCO)cc2)n1	513.0	3.75	3	9	9	112.08	308.55	1	36
Cn1c(SSc2c(C(=O)Nc3cccc(C(=O)O)c3)c3ccccc3n2C)c(C(=O)Nc2cccc(C(=O)O)c2)c2ccccc21	650.74	7.37	4	8	9	142.66	391.64	2	46
CC(C)n1nc(-c2ccc3nc(NN)ccc3c2)c2c(N)ncnc21	334.39	2.49	3	8	3	120.56	201.3	0	25
COc1ccc(OC)c(Nc2cc(Nc3ccc(N4CCN(C)CC4)cc3)ncn2)c1	420.52	3.73	2	8	7	74.78	253.15	0	31
C[C@H](NC(=O)c1cc(-c2cnn(C3CCOCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl	478.36	4.82	2	6	5	95.06	287.42	0	32
Cc1ccc(C(=O)Nc2ccc(CN3CCCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12	545.61	5.45	1	5	4	52.88	328.46	2	40
CCOc1ccc(-c2nc3ccccn3c2-c2ccnc(Nc3ccc(N4CCC(N5CCN(S(C)(=O)=O)CC5)CC4)cc3OC)n2)cc1C(=O)Nc1c(F)cccc1F	837.95	6.69	2	12	12	146.53	504.41	3	60
Cc1nc2cc3nc(-c4cccs4)cnc3cc2n1C	280.36	3.55	0	5	1	43.6	168.72	0	20
