SMILES	MolWt	LogP	HBD	HBA	RotatableBonds	TPSA	Volume	LipinskiViolations	NumAtoms
CCn1ccc(NC(=O)Cc2ccc(Oc3ncnc4cc(OC)c(OC)cc34)cc2)n1	433.47	3.84	1	8	8	100.39	260.95	0	32
C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1OCc1ccc(Oc2ccccc2)cc1	627.75	7.21	3	9	12	103.88	377.89	2	47
COc1cc2ncnc(C#C[C@@](C)(Cc3ccccc3)N3CCC(C(=O)O)CC3)c2cc1OC	459.55	3.8	1	6	6	84.78	276.64	0	34
Cc1ccc(F)c(NC(=O)Nc2ccc(Oc3ccnc(-c4cc(C(=O)NCCCC(=O)O)c[nH]4)c3)cc2)c1	531.54	5.56	5	5	10	145.44	320.0	2	39
COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(-n2c(C)ccc2CN2CCN(C)CC2)cc1)c1ccccc1	561.69	5.25	2	7	7	78.84	338.12	2	42
Cc1ccoc1C(=O)Nc1cccc(C#Cc2cncc(C(=O)N=[S@](C)(=O)CCCO)c2)c1	465.53	3.26	2	6	6	121.86	280.2	0	33
Cc1c(Nc2c(C#N)cncc2/C=C/c2cccc(S(=O)(=O)N3CCN(C)CC3)c2)ccc2[nH]ccc12	512.64	4.59	2	6	6	105.12	308.55	1	37
O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(NC[C@H](O)CCO)c(-c2ccn[nH]2)c1	467.86	3.05	5	7	10	132.39	281.4	0	32
CNC(CS(C)(=O)=O)c1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1	581.07	6.31	2	8	10	106.35	349.48	2	40
Cc1ccc(C(=O)Nc2cc(C(F)(F)F)ccn2)cc1/C=C/n1cnc2c(NC3CC3)ncnc21	479.47	5.0	2	7	6	97.62	288.66	1	35
COc1ccc2cc(-c3nn(CC4CCNCC4)c4ncnc(N)c34)ccc2c1.Cl	424.94	3.66	2	7	4	90.88	255.53	0	30
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(N)cc21	320.18	3.49	1	4	1	60.91	192.19	0	21
CN(c1ccccc1)c1ncnc2cc3oc(=O)n(CCCN4CCOCC4)c3cc12	419.49	3.03	0	8	6	76.63	252.53	0	31
C=CC(=O)NC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21	292.34	2.55	2	4	3	65.85	175.98	0	22
COc1cc(OC)cc(N(CCNC(C)C)c2ccc3ncc(-c4c(C)nn(C)c4C)nc3c2)c1.Cl	511.07	5.22	1	8	9	77.33	307.38	2	36
C[C@@H](Nc1ncnc2[nH]c(-c3ccc(CN4CCN(CCCCC(=O)NO)CC4)cc3)cc12)c1ccccc1	527.67	4.59	4	7	11	109.41	317.65	1	39
N=C1N=C(NCCS(=O)(=O)O)/C(=C/C(O)CNC(=O)c2cc(Br)c(Br)[nH]2)N1	528.18	-0.07	7	6	7	179.76	316.82	2	27
COC(=O)c1cc2cc(NC(=O)c3c(F)cccc3OC)cnc2[nH]1	343.31	2.75	2	5	4	93.31	206.68	0	25
C=CC(=O)Nc1cccc(N2C(=O)N(c3ccc(OCc4ccccc4)cc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1	696.81	6.96	2	9	11	115.4	419.47	2	52
COc1ccc(-c2nn(C3CCC3)c3ncnc(N)c23)cc1OC	325.37	2.82	1	7	4	88.08	195.88	0	24
Nc1nc(Nc2cccc(Br)c2)c2ccn(Cc3ccccc3)c2n1	394.28	4.57	2	5	4	68.76	236.78	0	25
COc1cc(N(C)CCN(C)C)c(NC(=O)c2ccncn2)cc1Nc1nccc(-c2cn(CCCO)c3ccccc23)n1	595.71	4.27	3	11	13	133.56	358.62	2	44
CCCCCCCCCCCCCCNC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1	507.67	7.36	2	5	17	88.77	305.6	2	37
Fc1ccc2c(c1)CNc1c(Nc3ccc(Cl)cc3)ncnc1O2	342.76	4.73	2	5	2	59.07	206.07	0	24
Cc1ccc(NC(=O)CCC(F)(F)F)cc1N1CCc2nc(Nc3ccc(C(=O)N4CCN(C)CC4)cc3)ncc2C1	581.64	4.76	2	7	7	93.7	350.16	1	42
C=CC(=O)Nc1cccc(-n2c(=O)n(C(C)C)c(=O)c3cnc(Nc4ccc(N5CCC(N6CCN(C)CC6)CC5)cc4OC)nc32)c1	653.79	3.62	2	12	9	129.86	393.58	2	48
COc1cc2ncn(-c3ccccc3)c2cc1C=O	252.27	2.85	0	4	3	44.12	151.86	0	19
COc1cc2ncnc(NNc3ccc(F)c(Cl)c3)c2cc1OC	348.77	3.88	2	6	5	68.3	209.69	0	24
COc1cc(Nc2nccc(-c3ccc(Cl)cc3)n2)cc(OC)c1OC	371.82	4.57	1	6	6	65.5	223.56	0	26
CCCN1CCC(c2ccc(Nc3nccc(-c4c(-c5ccc(OC)c(C(=O)Nc6c(F)cccc6F)c5)nc5ccccn45)n3)c(OCC)c2)CC1	717.82	8.73	2	9	12	105.91	432.12	2	53
Cc1ccc(C(=O)Nc2ccc(OC(F)(F)F)cc2)cc1-c1cncs1	378.38	5.27	1	4	4	51.22	227.75	1	26
COc1ccc2ncnc(Nc3cccc(Br)c3)c2n1	331.17	3.54	1	5	3	59.93	198.8	0	20
O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl	436.27	5.49	0	5	3	47.26	262.04	1	28
Nc1c(C(=O)c2cc3ccccc3o2)cnn1-c1cc(O)ccc1Cl	353.77	3.79	2	6	3	94.28	212.68	0	25
COc1cc(-c2nc3ccccc3s2)ccc1OCC(=O)NNC(=O)CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)O	573.63	3.26	5	8	11	154.67	345.28	1	41
CN(C)C(=O)O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1	566.06	5.59	2	8	6	88.61	340.44	2	39
CN1CCN(CCCOc2cc(OC3CCOCC3)c3c(Nc4ccc(F)c(Cl)c4)ncnc3c2)CC1	530.04	4.74	1	8	9	71.98	318.81	1	37
CCOC(=O)Cn1c(COC)nc2c(c(C)nn2-c2ccccc2)c1=O	356.38	1.6	0	8	6	88.24	214.55	0	26
COc1ccc(-c2cn(C3CCNC3)c3ncnc(N)c23)cc1	309.37	2.22	2	6	3	77.99	186.24	0	23
Cc1nc2cc(-n3ncc(C(=O)c4cc5ccc(-c6ccc(N7CCOCC7)nc6)cc5[nH]4)c3N)ccc2[nH]1	518.58	4.25	3	8	5	130.74	312.18	1	39
O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)C1CCCCC1	373.46	4.8	2	5	5	79.8	224.81	0	28
Cc1cccc(NC(=O)c2scnc2CCc2cnoc2)c1	313.38	3.48	1	5	5	68.02	188.61	0	22
CCN1C(=O)N(c2c(F)c(OC)cc(OC)c2F)Cc2cnc3[nH]c(CN4CCOCC4)cc3c21	487.51	3.66	1	6	6	83.16	293.5	0	35
Cn1cnc(NCc2ccncc2)c1C(=O)Nc1ccc(Cc2ccccc2)cc1	397.48	4.27	2	5	7	71.84	239.27	0	30
CN(C)CCCCOc1ccc2c(c1)ncn2-c1ccccc1	309.41	3.75	0	4	7	30.29	186.26	0	23
O=C1CSC(N2N=C(c3ccc(Br)cc3)CC2c2ccc(Cl)cc2)=N1	434.75	4.88	0	4	2	45.03	260.82	0	25
COc1cc(Nc2nn3c(N[C@H](CO)Cc4c[nH]c5ccccc45)cc(C4CC4)nc3c2C(N)=O)cc(OC)c1	541.61	3.96	5	9	11	151.82	326.05	1	40
Cc1ccc(-c2cc(C(=O)Nc3ccc(OC(F)(F)F)cc3)cnc2N2CC(CO)C2)cn1	458.44	4.03	2	6	6	87.58	276.0	0	33
CCOc1cc(N2CCC(N3CCN(S(C)(=O)=O)CC3)CC2)ccc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1	807.93	6.68	2	11	11	137.3	486.33	3	58
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2n1	370.21	3.66	2	5	4	79.8	222.3	0	23
COCCN(CCOC)C1CCN(c2ccc(Nc3nccc(-c4c(-c5cccc(C(=O)Nc6c(F)cccc6F)c5)nc5ccccn45)n3)c(OC)c2)CC1	762.86	7.3	2	11	15	118.38	459.24	3	56
Cc1ccc2c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc2c1	439.52	5.08	1	5	4	70.59	264.58	1	33
COc1cc2c(Nc3c(Cl)ccc4c3OCO4)ncnc2cc1OCCCN1CCCCC1	470.96	5.02	1	8	8	77.97	283.24	1	33
COc1cc(OC)cc(-c2cc3cnc(N)cc3nc2N)c1	296.33	2.48	2	6	3	96.28	178.39	0	22
CCOc1cc(/C=C2/CCNC2=O)cc(CSc2ccccc2)c1O	355.46	3.99	2	4	6	58.56	213.93	0	25
Cc1noc(NCc2ccncc2)c1C(=O)Nc1ccc(C(C)C)cc1	350.42	4.37	2	5	6	80.05	210.95	0	26
CCOC(=O)CSCc1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1	402.42	3.37	3	8	6	117.2	242.22	0	28
CNC(=O)c1cc(CNC(=O)c2ccc(OP(=O)(O)O)cc2)ccc1OCC1CCCCC1	476.47	3.41	4	5	9	134.19	286.85	0	33
C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1OCc1c(C)cccc1Cl	584.12	6.38	3	8	10	94.65	351.35	2	42
C=CC(=O)Nc1cccc(-c2c(-c3ccccc3)sc3ncnc(N[C@H](CO)c4ccccc4)c23)c1	492.6	6.3	3	6	8	87.14	296.48	1	36
COc1ccc(-n2cnc3ccc(-c4nnc(SCc5cccc(C#N)c5)o4)cc32)cc1	439.5	5.25	0	8	6	89.76	264.52	1	32
CCOC(=O)c1sc2ncnc(Nc3ccc(F)cc3)c2c1C	331.37	4.06	1	6	4	64.11	199.45	0	23
O=C(Nc1ccc(OC(F)(F)F)cc1)c1cccc(-n2ccnc2)c1	347.3	4.02	1	4	4	56.15	209.09	0	25
Fc1ccc(Nc2ncnc3[nH]c(CCc4ccccc4)cc23)cc1C(F)(F)F	400.38	5.64	2	3	5	53.6	241.04	1	29
O=[N+]([O-])c1cccc(Nc2nccc(-c3ccccn3)n2)c1	293.29	3.19	1	6	4	93.84	176.56	0	22
CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCC[C@H](NC(=O)[C@H](CCSC)NC(C)=O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@H](CCCCN)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)NCC(=O)N[C@@H](CCC(N)=O)C(=O)N1)C(N)=O	1132.4	-2.74	13	15	22	423.09	681.7	3	79
C=CC(=O)NCCCn1c(-c2nc(-c3cnn(C4CCN(C)CC4)c3)cnc2N)nc2ccccc21	485.6	2.9	2	9	8	119.78	292.33	0	36
Fc1ccc2c(c1)CNc1c(Nc3cccc(Br)c3)ncnc1O2	387.21	4.84	2	5	2	59.07	232.54	0	24
