MolWt,LogP,HBD,HBA,RotatableBonds,TPSA,Volume,LipinskiViolations,NumAtoms,pIC50
439.5,5.25,0,8,6,89.76,264.52,1,32,5.0
331.37,4.06,1,6,4,64.11,199.45,0,23,4.522878745
347.3,4.02,1,4,4,56.15,209.09,0,25,8.721246399
400.38,5.64,2,3,5,53.6,241.04,1,29,3.784362437
293.29,3.19,1,6,4,93.84,176.56,0,22,4.0
1132.4,-2.74,13,15,22,423.09,681.7,3,79,3.97674754
485.6,2.9,2,9,8,119.78,292.33,0,36,6.698970004
387.21,4.84,2,5,2,59.07,232.54,0,24,5.823908741
474.01,6.13,2,6,7,74.17,285.06,1,34,8.823908741
581.51,5.89,2,10,9,100.56,349.51,2,40,9.301029996
458.44,4.26,2,6,5,87.58,276.0,0,33,8.301029996
404.51,3.74,0,6,7,60.37,243.51,0,30,6.698970004
324.14,0.28,5,3,0,109.87,194.58,0,19,8.22184875
501.03,4.23,1,9,10,84.87,301.34,1,35,7.22184875
528.97,4.08,3,8,8,117.71,318.17,1,37,7.592949185
505.55,5.28,1,6,6,81.81,304.3,2,36,7.920818754
412.52,3.43,2,6,6,75.72,248.29,0,29,10.67778071
358.32,4.52,2,4,4,66.91,215.73,0,26,9.040958608
482.59,3.99,1,6,4,88.3,290.51,0,36,7.017276612
508.48,6.63,1,6,5,55.19,305.49,2,34,7.301029996
331.76,2.4,2,7,2,99.08,199.45,0,23,7.677780705
326.44,5.7,1,1,4,19.03,196.49,1,25,3.823908741
453.55,4.16,3,6,4,108.62,273.03,0,34,8.161150909
358.83,2.43,3,7,3,101.88,215.74,0,25,5.100726813
609.01,5.95,1,11,14,135.69,366.36,3,43,7.696803943
476.51,3.74,3,7,9,137.4,286.83,0,33,4.0
567.87,4.92,4,6,9,100.2,340.98,1,34,7.167491087
413.46,5.22,2,7,6,99.93,248.85,1,30,6.0
446.44,2.9,3,4,8,116.17,268.77,0,31,5.346787486
464.91,4.95,3,6,7,125.3,279.59,0,33,5.0
472.6,4.65,2,9,7,83.37,284.5,0,35,7.522878745
366.41,4.34,2,5,4,75.99,220.57,0,27,6.397940009
437.52,5.07,1,5,3,45.46,263.37,1,33,5.127843727
504.49,3.89,3,9,8,128.11,303.73,1,36,5.698970004
306.33,1.99,1,8,2,108.29,184.42,0,23,4.522878745
435.55,5.34,3,6,8,91.93,262.15,1,31,9.0
440.46,3.85,3,7,4,131.83,265.16,0,33,6.0
535.67,5.1,1,7,6,70.47,322.41,2,39,8.301029996
326.43,2.85,2,7,4,67.13,196.46,0,23,6.465897709
