MolWt,LogP,HBD,HBA,RotatableBonds,TPSA,Volume,LipinskiViolations,NumAtoms,pIC50
418.46,2.87,1,7,4,103.61,251.91,0,31,4.0
457.54,3.74,1,8,4,100.28,275.44,0,34,6.258060922
375.46,4.89,3,5,3,92.93,225.97,0,27,4.301029996
327.12,3.86,2,4,3,92.47,196.38,0,21,5.0
437.57,2.84,2,7,7,81.59,263.37,0,31,4.698970004
418.48,-0.14,4,9,6,153.36,251.9,0,29,6.468521083
485.59,4.17,3,8,10,96.34,292.32,0,36,4.346787486
503.48,6.28,3,5,11,82.18,302.53,2,34,7.537602002
349.39,3.15,2,5,6,88.71,210.33,0,26,6.431798276
494.69,5.49,2,4,9,72.2,297.7,1,34,5.920818754
315.76,2.75,2,4,5,75.6,189.81,0,22,5.0
360.22,3.27,2,6,2,89.85,216.29,0,22,6.48945499
542.68,3.67,2,9,7,111.55,326.66,1,38,9.698970004
228.68,3.68,0,2,1,17.82,137.38,0,16,4.301029996
521.63,5.23,2,8,10,97.2,314.01,2,39,8.22184875
515.55,6.87,2,8,7,97.74,310.35,2,39,4.602059991
427.35,6.96,0,2,3,15.6,256.67,1,28,6.30980392
257.68,2.82,1,5,2,63.59,154.85,0,18,5.59345982
671.62,0.26,9,14,7,243.09,404.33,3,49,3.698970004
568.73,4.55,1,7,6,88.15,342.37,1,42,6.42365865
361.83,4.99,1,3,4,46.92,217.53,0,26,6.657577319
396.52,2.77,2,8,6,77.41,238.66,0,28,7.013228266
481.6,4.25,2,7,5,86.28,289.92,0,36,7.823908741
440.47,5.04,2,4,4,80.9,265.17,1,32,5.0
210.24,2.73,1,3,1,38.05,126.55,0,16,4.301029996
480.59,2.98,2,9,7,107.01,289.27,0,34,8.337242168
334.24,4.63,1,4,3,37.81,200.6,0,19,6.806875402
326.44,5.4,0,2,4,8.17,196.49,1,25,3.823908741
475.36,4.43,1,5,5,62.74,285.61,0,30,6.321481621
470.5,5.4,2,4,5,76.02,283.25,1,34,4.301029996
477.01,4.61,2,7,10,73.39,286.84,0,32,7.031517051
481.84,3.14,5,7,10,149.46,289.82,0,33,8.27572413
426.35,6.3,3,4,5,79.62,256.09,1,29,4.015922966
417.51,3.78,1,6,6,70.59,251.34,0,31,7.142667504
361.4,3.35,2,4,5,78.19,217.56,0,27,4.522878745
333.37,5.2,1,4,4,50.95,200.68,1,25,7.886056648
593.13,6.47,1,9,9,75.64,356.74,2,41,5.036212173
312.38,1.54,1,5,3,88.91,188.05,0,23,5.0
619.7,5.04,1,9,7,95.31,373.07,2,45,5.671620397
559.67,5.86,0,9,9,72.84,336.87,2,40,5.0
429.4,4.29,1,6,5,80.24,258.52,0,31,8.522878745
388.33,4.46,1,2,2,41.62,233.16,0,23,5.663540266
567.69,4.84,2,9,8,104.62,341.74,1,42,7.619788758
536.68,3.99,2,10,7,123.66,323.09,1,39,6.390405591
407.91,3.78,2,7,3,70.38,245.28,0,29,6.0
424.51,3.99,3,7,6,124.28,255.56,0,31,4.301029996
748.84,7.22,2,11,13,118.38,450.8,3,55,6.0
471.61,5.75,3,6,10,76.71,283.89,1,35,4.0
301.33,3.03,2,5,3,84.08,181.36,0,21,6.193820026
427.43,4.2,2,5,3,84.14,257.33,0,31,7.698970004
512.58,4.48,2,6,6,87.46,308.54,1,36,7.181774106
559.6,3.35,5,5,12,168.05,336.89,1,39,5.102372909
418.68,5.28,1,5,4,67.17,251.2,1,25,7.823908741
462.82,5.47,2,6,4,93.96,278.36,1,32,5.0
499.97,4.78,2,7,11,88.61,300.71,0,35,8.050609993
319.41,4.2,1,5,4,55.63,192.28,0,24,4.301029996
538.03,4.58,3,9,7,103.24,323.62,1,38,8.698970004
317.19,4.08,2,3,2,53.6,190.38,0,19,4.0
459.49,2.91,3,8,6,126.21,276.57,0,33,5.920818754
558.15,6.36,3,8,9,105.24,335.68,2,38,5.771086594
412.11,5.45,0,2,2,32.67,246.96,1,23,4.73400363
230.29,3.1,0,4,2,27.05,138.59,0,16,5.187086643
402.45,3.53,3,7,4,106.42,242.27,0,30,7.075720714
499.5,5.81,1,5,3,64.22,300.7,1,37,6.739928612
680.14,4.46,1,13,11,159.09,409.13,2,47,7.721246399
419.49,2.87,1,8,7,85.42,252.53,0,31,4.187086643
526.59,4.47,1,6,3,65.77,317.01,1,39,8.0
493.49,6.0,3,6,6,96.76,297.1,1,36,3.286509457
278.31,3.62,2,2,3,61.96,167.53,0,21,4.244125144
502.88,4.75,2,6,6,98.48,302.47,1,35,9.15490196
468.94,4.88,1,8,8,81.88,282.02,0,33,8.0
459.43,5.73,1,5,4,72.18,276.58,1,34,4.301029996
647.73,5.59,2,9,11,114.49,389.89,2,46,5.366531544
388.48,2.79,3,5,3,94.04,233.86,0,29,7.698970004
460.48,4.36,3,7,12,105.6,277.22,0,33,7.0
295.3,2.97,2,4,3,84.08,177.77,0,22,5.301029996
316.36,3.16,2,5,3,76.96,190.44,0,24,6.22184875
332.41,3.72,2,6,4,86.52,200.11,0,25,4.397940009
398.36,5.52,1,4,4,50.7,239.83,1,29,5.0
470.53,4.47,1,6,5,93.65,283.25,0,35,5.0
426.35,6.3,3,4,5,79.62,256.09,1,29,3.757210191
587.7,5.39,2,10,6,103.68,353.8,2,43,6.913640169
641.59,0.76,8,13,6,222.86,386.25,3,47,3.698970004
521.65,2.81,2,9,6,118.09,313.99,1,37,8.795880017
528.45,6.01,3,6,7,105.24,317.56,2,34,7.255707017
320.35,3.48,2,5,5,76.14,192.85,0,24,7.091514981
368.25,2.81,1,3,4,63.24,221.08,0,21,4.736363931
449.92,5.21,2,5,7,81.05,270.57,1,32,5.455931956
501.01,6.36,1,5,7,50.28,301.31,2,36,8.15490196
618.19,4.04,1,8,7,91.39,371.87,1,44,7.575118363
541.67,1.93,4,6,9,134.84,326.05,1,38,6.698970004
641.15,5.9,4,10,11,136.73,385.6,2,43,8.045757491
459.37,5.39,2,7,4,68.3,275.93,1,28,4.512861625
424.55,3.6,0,6,6,58.97,255.48,0,29,5.0
561.09,6.82,1,5,5,61.61,337.47,2,41,4.522878745
567.43,6.51,1,9,10,108.48,341.03,2,39,7.27572413
313.28,1.71,1,5,3,56.03,188.62,0,22,4.076238039
441.29,3.76,1,7,7,94.07,265.09,0,28,8.819874125
488.5,2.57,6,8,6,186.7,294.08,1,36,5.677780705
470.54,3.79,0,10,8,96.01,283.26,0,35,7.100015437
550.67,3.54,3,10,8,114.44,331.5,1,41,8.568636236
301.73,3.98,2,4,2,62.58,181.36,0,21,7.420216403
565.07,6.08,4,8,11,122.56,339.89,2,40,8.161150909
578.71,4.27,1,9,12,101.52,348.39,1,42,6.838631998
425.49,2.93,3,8,3,126.73,256.15,0,31,6.455931956
464.96,4.16,3,8,9,107.43,279.63,0,33,5.623423043
726.88,9.14,2,8,10,90.69,437.57,2,54,7.0
585.71,4.88,0,10,8,98.08,352.59,1,43,7.730020323
318.33,3.81,2,3,3,74.95,191.63,0,24,4.522878745
377.44,5.48,1,5,5,54.88,227.17,1,27,7.229147988
341.39,3.82,2,6,2,89.85,205.52,0,25,6.110698297
428.72,5.29,3,4,4,79.62,257.24,1,26,4.301029996
455.61,4.11,1,7,5,63.08,274.18,0,31,6.356547324
540.77,4.84,1,8,6,83.96,324.71,1,33,6.0
482.55,2.74,3,7,4,128.93,290.49,0,36,8.698970004
336.39,3.4,3,2,4,82.19,202.5,0,25,5.723538196
543.33,6.27,2,7,9,94.6,326.55,2,36,5.0
528.38,4.79,2,6,6,96.45,317.53,1,34,6.89279003
779.84,7.44,2,10,11,103.16,469.48,2,57,7.0
417.47,4.05,4,6,7,111.28,251.32,0,31,6.335358024
405.43,2.16,2,7,8,121.21,244.03,0,28,6.327902142
553.47,6.54,2,8,7,94.69,332.63,2,38,4.455931956
332.41,3.68,1,6,2,74.55,200.11,0,25,6.088309841
428.72,5.22,2,5,4,68.76,257.24,1,26,3.898596649
524.63,4.51,3,6,8,102.59,315.82,1,39,7.698970004
600.72,4.87,3,9,11,118.98,361.63,1,44,7.838631998
582.58,2.7,3,7,7,133.79,350.74,1,42,8.366531544
565.51,3.72,7,9,8,208.74,340.48,2,38,4.657577319
520.62,6.34,4,7,7,122.03,313.35,2,38,4.468521083
452.58,5.06,3,7,5,108.23,272.4,1,32,7.0
469.51,2.88,2,9,6,114.27,282.64,0,35,5.461426266
444.34,5.72,2,5,4,68.76,266.91,1,29,3.672845488
588.71,5.21,2,10,9,100.44,354.36,2,42,6.477555766
505.88,6.19,2,6,7,90.3,304.28,2,35,4.568636236
448.5,4.06,3,7,8,91.41,270.0,0,33,7.092588639
657.56,5.11,3,9,10,141.26,395.3,2,45,5.640164518
556.71,7.1,1,6,8,74.25,335.12,2,42,7.744727495
345.79,4.05,1,6,5,65.5,207.88,0,24,6.602059991
231.21,2.14,5,4,0,96.71,139.19,0,17,6.096910013
463.59,5.8,3,7,8,91.93,278.98,1,32,9.0
353.38,3.55,1,7,5,74.73,212.73,0,26,8.356547324
353.79,4.57,1,5,3,55.63,212.7,0,25,8.527243551
278.28,1.81,3,6,1,113.6,167.53,0,21,7.522878745
436.37,3.85,3,6,7,92.93,262.09,0,28,5.0
398.51,4.96,0,5,4,43.18,239.89,0,30,8.30980392
325.41,4.79,0,5,6,51.39,195.89,0,24,7.247951552
397.89,5.29,1,6,3,56.27,239.2,1,27,5.0
517.36,3.11,4,7,10,117.27,310.9,1,33,6.866461092
531.58,5.06,1,5,4,52.88,320.01,2,39,7.619788758
512.68,5.09,3,5,6,76.29,308.58,2,37,6.227678293
522.44,6.17,1,7,6,77.56,313.94,2,36,8.124938737
350.81,4.31,3,5,5,78.52,210.91,0,25,8.15490196
392.38,5.33,1,5,5,52.61,236.23,1,28,4.301029996
460.53,3.23,2,7,6,87.16,277.24,0,34,4.698970004
397.5,2.84,1,5,6,61.88,239.24,0,28,6.086186148
438.46,4.39,2,8,7,110.89,263.91,0,31,6.673664139
429.88,3.62,2,6,6,93.37,258.52,0,30,5.0
370.38,3.52,2,6,5,84.67,222.98,0,27,6.829738285
426.54,3.9,2,5,9,68.82,256.72,0,30,3.602059991
543.55,7.74,2,6,6,92.94,327.22,2,40,6.0
436.71,5.97,3,4,4,79.62,262.06,1,28,4.149353765
404.83,4.22,3,6,8,96.37,243.44,0,28,7.0
405.46,2.83,1,7,4,95.5,244.08,0,30,5.0
443.5,4.42,2,6,7,95.7,266.98,0,33,7.756961951
535.61,5.42,3,9,7,116.91,322.43,2,40,8.63638802
385.29,6.0,0,3,2,34.89,231.37,1,26,4.2069084
424.45,3.59,3,7,6,113.29,255.51,0,31,3.229147988
485.97,4.78,2,7,6,87.22,292.23,0,33,5.0
396.37,4.36,1,5,2,73.8,238.63,0,29,5.853871964
471.72,5.74,3,5,5,89.42,283.14,1,29,5.48148606
489.58,5.89,2,7,8,81.07,294.68,1,35,9.0
320.18,3.49,1,4,1,60.91,192.19,0,21,4.301029996
478.34,6.13,1,7,6,92.95,287.4,1,33,8.0
316.36,4.09,3,3,3,69.14,190.43,0,24,5.522878745
384.83,4.44,2,6,6,99.58,231.39,0,27,5.974284616
446.44,4.69,4,5,6,116.34,268.76,0,33,7.468521083
343.42,4.98,2,5,3,66.49,206.68,0,25,6.207608311
350.38,2.3,2,6,4,93.47,210.93,0,26,4.522878745
466.59,4.75,1,6,4,74.25,280.87,0,35,7.052566278
555.08,6.57,3,7,11,102.31,333.87,2,40,7.346787486
506.65,6.14,2,5,6,73.07,304.99,2,38,5.522878745
423.59,7.09,0,4,4,28.49,254.93,1,31,5.573488739
381.42,3.47,2,7,5,110.01,229.57,0,27,6.886056648
516.49,5.57,2,8,6,110.51,310.94,2,38,4.397940009
417.45,5.06,1,6,5,72.7,251.31,1,30,6.228412519
331.38,2.81,1,5,3,71.01,199.48,0,25,5.71354353
301.35,4.5,1,4,4,50.95,181.4,0,23,7.031517051
349.47,5.48,2,2,1,49.33,210.36,1,26,4.0
580.09,5.98,2,8,7,88.61,348.89,2,40,7.301029996
558.64,4.72,3,10,11,125.88,336.31,1,41,6.67223251
452.92,4.58,2,5,6,93.09,272.33,0,31,4.666351243
375.41,0.58,3,8,4,139.12,225.97,0,26,6.920818754
275.7,1.91,4,6,2,118.53,165.7,0,19,5.22184875
627.24,7.16,2,10,10,109.34,377.22,2,42,6.0
440.47,5.04,2,4,4,80.9,265.17,1,32,5.0
641.65,4.7,3,10,12,148.19,386.25,1,45,7.958607315
374.47,4.63,2,5,5,80.9,225.37,0,27,8.15490196
821.96,6.37,2,12,12,137.3,494.78,3,59,7.0
522.4,4.45,2,7,7,99.51,313.92,1,34,5.416801226
356.43,2.46,3,8,6,111.11,214.58,0,26,5.274088368
428.44,5.12,2,5,3,80.37,257.89,1,30,5.872895202
392.51,3.59,1,7,5,79.0,236.28,0,29,2.995678626
768.29,6.89,4,10,13,172.75,462.15,2,52,7.728158393
505.45,5.96,1,7,10,68.74,303.72,2,34,7.301029996
392.46,3.63,0,5,4,60.77,236.25,0,29,5.673664139
516.6,4.73,2,9,12,114.63,310.99,1,38,6.954677021
222.27,1.69,4,4,3,88.1,133.76,0,15,4.0
514.66,4.49,2,9,7,89.94,309.77,1,37,7.212539525
622.73,9.08,4,7,7,121.78,374.87,2,47,7.677780705
330.78,4.15,3,3,4,79.04,198.85,0,23,6.620875854
375.36,4.23,1,6,4,99.87,225.97,0,28,4.086186148
308.41,4.6,1,5,4,50.7,185.61,0,22,6.26760624
522.01,4.42,3,8,8,111.72,313.97,1,37,8.259637311
543.62,4.71,2,8,10,106.95,327.26,1,40,7.962573502
448.48,4.01,4,7,10,126.5,269.99,0,33,6.0
465.31,4.17,2,6,6,96.27,279.55,0,30,6.48148606
491.88,2.81,3,8,6,120.7,295.85,0,34,9.045757491
1107.37,-1.1,14,16,21,394.41,666.57,3,77,4.744727495
319.76,2.81,3,7,5,104.55,192.23,0,22,7.500038134
539.62,5.6,2,6,6,103.87,324.8,2,39,5.457174573
371.4,3.72,2,6,2,102.73,223.58,0,28,7.966576245
486.53,4.19,1,8,6,101.94,292.89,0,36,5.63638802
351.45,3.52,0,5,7,39.52,211.56,0,26,4.602059991
473.46,4.44,1,6,5,91.61,285.04,0,34,5.0
354.46,5.67,1,4,3,50.7,213.36,1,27,4.301029996
254.29,2.53,1,4,3,47.28,153.08,0,19,4.301029996
392.46,4.01,1,6,10,61.84,236.25,0,29,7.522878745
461.36,2.62,4,8,11,106.43,277.18,0,29,8.920818754
542.41,2.51,4,7,10,163.88,326.58,1,37,3.301029996
463.37,4.79,1,7,7,68.74,278.39,0,31,7.301029996
549.64,5.63,2,5,6,60.5,330.89,2,40,8.443697499
377.3,4.43,1,4,4,64.11,227.16,0,27,7.443697499
368.35,3.45,1,8,5,108.64,221.75,0,27,8.013228266
612.09,5.83,2,9,12,125.58,368.19,2,44,6.46470588
226.24,2.44,2,4,1,58.28,136.19,0,17,5.721246399
440.6,4.94,2,5,7,60.08,265.22,0,33,8.698970004
328.37,3.36,1,5,3,67.77,197.64,0,23,5.698970004
294.36,3.5,2,5,2,76.96,177.2,0,22,6.004364805
527.67,5.99,2,6,7,80.65,317.64,2,39,4.387216143
533.03,5.69,1,8,8,88.87,320.6,2,38,8.677780705
277.33,3.14,0,4,4,47.78,166.94,0,21,4.380906669
563.06,5.08,2,9,13,110.73,338.68,2,40,8.26760624
372.43,4.65,2,4,5,79.9,224.19,0,28,5.919734373
421.48,3.5,1,5,3,101.63,253.68,0,30,8.22184875
328.84,5.09,0,3,2,34.89,197.67,1,23,4.233587153
529.47,6.67,1,7,9,79.64,318.17,2,36,8.853871964
341.44,4.29,1,5,6,68.02,205.49,0,24,5.19314197
442.92,5.22,2,5,7,66.49,266.36,1,31,5.282329497
507.62,2.42,2,9,7,118.09,305.55,1,36,8.251811973
275.32,3.44,3,4,2,79.62,165.73,0,21,9.187086643
225.25,2.09,3,2,1,70.91,135.6,0,17,4.301029996
386.45,4.58,2,4,3,79.29,232.6,0,27,7.927382523
432.48,4.57,2,6,7,98.36,260.35,0,32,8.397940009
575.14,6.33,1,9,9,75.64,345.9,2,40,5.443697499
475.38,4.93,1,7,6,68.74,285.62,0,32,7.301029996
510.58,3.75,3,9,8,121.51,307.29,1,35,4.984221244
349.44,3.8,2,5,6,71.84,210.36,0,26,6.537602002
540.0,3.23,3,7,7,115.48,324.81,1,38,4.698970004
462.35,4.55,3,5,6,89.84,277.76,0,30,3.885999993
355.24,4.36,1,2,7,32.34,213.3,0,23,5.764471553
309.37,2.78,1,6,4,86.69,186.24,0,23,5.301029996
481.58,4.21,1,9,6,104.21,289.87,0,34,7.375717904
360.3,3.69,1,5,4,77.0,216.92,0,26,8.167491087
569.09,4.78,2,9,7,89.52,342.32,1,39,6.471597562
384.82,3.82,2,7,6,99.36,231.38,0,27,7.26760624
557.86,5.56,2,8,9,94.69,334.99,2,35,5.301029996
466.38,5.12,2,5,6,70.15,280.19,1,30,6.974694135
366.77,4.33,2,6,4,109.63,220.52,0,26,5.0
375.48,3.17,2,6,5,72.97,226.03,0,28,6.530177984
467.61,5.52,1,4,3,69.12,281.48,1,35,6.455931956
399.89,5.68,3,4,4,79.62,240.44,1,29,4.507239611
502.6,3.75,1,8,6,102.87,302.52,1,36,7.080921908
436.51,4.09,1,6,8,70.95,262.77,0,32,4.537602002
350.43,3.5,3,5,2,105.82,210.96,0,26,5.777283529
531.55,2.34,4,5,11,145.27,320.01,1,37,6.537602002
496.66,5.38,1,7,7,66.41,298.97,1,37,7.408935393
321.77,4.37,2,4,3,66.49,193.42,0,23,5.0
369.4,2.59,1,6,4,77.09,222.39,0,27,5.892111975
373.36,4.75,2,2,2,57.78,224.76,0,28,5.593289541
590.77,8.59,2,6,7,68.06,355.53,2,42,4.0
497.6,3.98,1,8,8,102.4,299.55,0,37,7.724688645
318.42,4.56,1,2,2,32.34,191.67,0,24,4.0
517.05,7.57,2,5,10,59.07,310.97,2,37,7.619788758
366.43,3.2,3,6,3,115.05,220.59,0,27,4.438898616
326.35,2.84,3,3,5,91.42,196.46,0,24,4.0
998.01,-3.08,14,14,15,428.25,600.85,3,71,4.399027104
589.14,4.89,1,7,6,88.15,354.38,1,42,6.841637508
1158.44,-2.17,13,15,39,423.09,697.37,3,81,4.04431225
534.06,5.51,0,9,9,83.12,321.22,2,38,8.0
429.48,4.7,2,7,8,98.26,258.54,0,32,6.935542011
416.44,3.61,1,8,7,99.25,250.69,0,31,5.244125144
522.56,5.77,4,6,9,129.65,314.54,2,37,8.15490196
293.33,3.4,1,6,2,82.76,176.58,0,22,6.269217724
320.35,2.29,2,5,3,84.24,192.85,0,24,5.455931956
386.84,4.64,2,7,7,77.53,232.6,0,27,6.045275209
665.7,6.69,2,10,12,115.14,400.76,2,49,6.0
554.54,2.82,5,8,17,201.18,333.86,1,38,5.15490196
375.31,3.27,2,6,4,103.02,225.96,0,27,8.455931956
440.3,4.86,3,6,7,88.17,264.5,0,28,6.698970004
408.51,2.41,1,7,5,89.51,245.92,0,30,6.124938737
275.38,2.22,3,4,5,61.87,165.74,0,19,7.283996656
327.36,3.28,2,6,2,89.85,197.08,0,24,8.193820026
423.54,3.26,1,6,5,63.08,254.92,0,30,4.522878745
401.42,4.49,2,5,5,88.77,241.64,0,30,5.389339837
423.84,5.1,1,6,5,72.7,254.88,1,29,7.15864053
451.33,4.06,2,6,6,93.94,271.13,0,29,8.721246399
427.55,5.23,1,6,7,54.69,257.37,1,32,7.823908741
445.84,3.61,3,7,5,114.47,268.13,0,31,7.396206296
375.39,3.35,3,7,6,109.75,225.99,0,28,8.795880017
238.29,3.34,0,3,2,27.05,143.44,0,18,4.301029996
531.62,3.56,3,9,10,134.94,320.04,1,39,8.920818754
529.6,4.74,3,8,5,107.94,318.78,1,38,6.034328029
509.61,5.41,3,6,5,106.08,306.78,2,38,6.823908741
340.41,2.54,2,6,4,71.48,204.93,0,25,7.494850022
369.22,4.26,2,4,4,66.91,221.7,0,23,7.13667714
587.68,4.46,3,9,12,127.18,353.78,1,43,7.93930216
501.51,5.15,1,8,8,85.53,301.93,2,36,8.560036064
346.42,2.03,2,7,4,115.79,208.51,0,24,4.89279003
607.53,6.11,2,8,11,106.35,365.12,2,39,7.366531544
497.56,2.39,4,7,7,124.27,299.53,0,37,4.698970004
338.41,4.47,2,3,5,53.6,203.71,0,26,3.698970004
481.6,2.02,2,8,8,116.92,289.93,0,35,8.920818754
576.1,5.86,2,9,8,115.64,346.53,2,41,5.0
427.39,4.95,1,7,7,85.96,257.3,0,31,6.251811973
306.32,3.21,1,5,4,76.83,184.4,0,23,7.008773924
558.99,5.87,2,7,10,84.31,336.25,2,39,8.337242168
440.46,3.85,3,7,4,131.83,265.16,0,33,6.0
505.51,1.85,5,5,14,154.06,304.34,1,35,5.0
472.55,3.21,4,8,8,120.09,284.48,0,35,7.798602876
525.46,6.73,1,7,6,70.41,315.71,2,35,6.356547324
624.71,8.48,5,8,7,142.01,376.06,2,47,7.795880017
353.46,1.5,2,5,3,72.97,212.74,0,25,4.522878745
373.44,4.99,2,6,4,75.72,224.76,0,27,6.142667504
389.43,2.45,1,6,8,100.98,234.39,0,27,4.301029996
455.56,4.56,1,6,4,73.44,274.24,0,34,8.096910013
582.1,7.07,2,7,11,99.51,350.13,2,42,7.107905397
555.66,4.65,2,9,6,97.84,334.45,1,40,6.744727495
543.04,6.13,1,6,7,59.51,326.62,2,39,6.619788758
508.99,4.9,3,6,9,95.17,306.13,1,36,4.819874125
538.57,3.25,2,6,5,96.49,324.24,1,39,8.443697499
485.83,5.47,2,7,6,119.28,292.21,1,34,7.13076828
470.37,6.23,2,5,5,68.76,282.58,1,31,3.698970004
509.57,4.18,3,9,7,139.32,306.68,1,35,5.815308569
408.89,3.06,3,5,2,94.04,245.87,0,29,8.698970004
458.44,3.56,3,6,5,95.17,276.0,0,33,8.045757491
544.66,5.35,3,8,7,100.0,327.87,2,41,5.099632871
472.88,3.5,2,7,6,106.26,284.41,0,33,8.080921908
542.04,3.94,1,10,8,90.44,326.03,1,38,7.522878745
428.51,1.71,4,4,6,134.15,257.92,0,30,7.522878745
385.38,3.86,3,4,2,96.21,231.99,0,29,5.744727495
518.07,5.37,1,2,2,41.62,310.14,2,23,4.997402019
586.11,5.94,3,8,11,109.0,352.47,2,39,8.15490196
583.47,5.55,1,8,9,95.04,350.69,2,40,7.301029996
521.58,4.43,0,10,8,100.31,313.99,1,39,8.160019442
513.51,5.93,1,5,11,58.12,308.51,2,32,9.110026362
758.87,8.51,2,10,10,109.15,456.84,2,56,6.0
442.59,5.92,3,5,7,64.18,266.38,1,32,8.522878745
482.54,3.84,3,7,2,89.68,290.48,0,36,6.585026652
471.39,5.89,1,6,6,70.41,283.21,1,32,8.180456064
363.2,3.26,1,5,2,76.88,218.09,0,24,5.236572006
501.66,4.82,1,9,6,71.34,301.95,1,36,6.049635146
390.53,6.23,1,4,5,34.03,234.99,1,27,4.0
546.56,5.38,2,7,6,104.62,329.04,2,40,7.501689446
352.42,2.82,3,6,4,106.49,212.11,0,25,9.327902142
462.44,4.04,1,8,7,124.54,278.4,0,34,6.37675071
510.4,6.67,3,4,6,93.6,306.68,2,34,4.552841969
472.47,4.5,2,6,6,87.58,284.44,0,34,8.397940009
252.23,1.26,3,6,2,137.85,151.85,0,19,5.602059991
415.27,4.66,3,4,4,73.83,249.43,0,26,7.283996656
572.69,4.38,1,7,6,88.15,344.76,1,42,7.754487332
482.37,6.66,3,5,8,91.93,289.82,1,33,6.090979146
578.03,4.28,2,7,5,125.34,347.69,1,42,6.374430342
612.04,5.48,2,9,10,125.76,368.18,2,43,8.420216403
472.97,5.3,3,7,12,105.6,284.45,1,33,6.211831629
547.66,4.99,2,7,6,103.35,329.68,1,41,7.387216143
450.51,5.22,1,6,8,72.5,271.21,1,33,8.301029996
536.47,6.09,2,6,5,85.96,322.39,2,37,8.119186408
720.51,9.5,2,6,7,68.06,432.51,2,42,4.0
337.81,4.6,2,3,5,54.02,203.07,0,24,5.15490196
458.54,1.13,0,7,3,101.81,276.0,0,32,6.0
539.84,7.49,0,6,5,71.63,324.09,2,33,4.613144471
595.53,6.95,1,7,10,85.81,357.94,2,41,7.301029996
552.11,3.25,2,9,6,96.52,332.05,1,38,7.086186148
412.49,6.0,3,3,4,89.15,248.31,1,31,7.795880017
392.46,4.39,1,8,2,100.85,236.26,0,29,6.278189385
635.68,6.68,2,9,11,105.91,382.68,2,47,7.0
433.7,6.28,1,4,3,56.73,260.25,1,28,6.399027104
850.99,7.72,2,12,13,143.29,512.26,3,61,6.0
448.15,6.36,2,3,4,53.6,268.66,1,26,3.65678841
388.29,4.05,3,4,3,61.87,233.14,0,23,8.040958608
478.33,4.6,1,8,6,83.96,287.4,0,32,7.301029996
640.77,9.21,3,9,7,118.88,385.68,2,47,7.744727495
459.57,5.25,4,6,5,93.95,276.6,1,33,4.029188389
602.66,6.89,3,8,11,100.0,362.82,2,44,6.314258261
534.45,6.8,1,7,8,83.3,321.17,2,37,8.167491087
420.54,5.91,1,7,7,69.16,253.11,1,30,5.045757491
426.39,1.67,1,10,9,142.66,256.7,0,31,8.638272164
300.35,1.38,2,7,3,98.19,180.77,0,21,5.886056648
394.78,4.45,1,4,5,59.81,237.4,0,27,6.008773924
459.43,3.51,2,7,6,100.47,276.6,0,33,8.522878745
581.72,5.02,2,9,7,104.62,350.19,2,43,6.0
377.24,3.72,3,5,3,105.82,226.54,0,25,5.866461092
363.47,2.1,1,6,5,67.39,218.8,0,27,5.0
425.24,4.3,4,6,2,109.64,255.43,0,27,6.045757491
452.47,3.34,2,8,6,103.07,272.39,0,34,4.913640169
474.74,6.62,3,5,5,102.16,284.95,1,31,6.26520017
511.58,5.41,3,6,9,108.58,307.97,2,38,6.0
538.32,4.79,3,6,8,105.24,323.53,1,34,6.341035157
424.29,5.95,2,4,4,79.48,254.86,1,29,8.744727495
521.57,4.54,2,6,8,82.72,313.99,1,38,7.982966661
436.92,5.83,2,7,6,72.2,262.7,1,30,8.055517328
351.36,3.51,0,6,6,87.26,211.52,0,26,5.239577517
471.57,2.13,2,9,6,115.96,283.8,0,32,4.9076303
382.39,5.51,2,3,5,53.6,230.21,1,28,3.301029996
532.6,5.96,3,7,9,122.03,320.62,2,40,5.0
547.95,5.65,2,8,9,106.85,329.6,2,39,8.22184875
554.76,6.21,2,5,8,67.5,333.91,2,40,7.229147988
461.83,6.1,3,5,3,106.07,277.76,1,32,7.698970004
446.46,5.09,2,7,7,103.83,268.77,1,33,5.0
531.69,4.11,1,8,7,90.11,320.03,1,38,6.327902142
556.69,5.38,2,10,9,95.87,335.08,2,40,6.455931956
549.56,5.98,5,7,7,134.06,330.85,2,40,7.15490196
575.9,4.73,1,8,10,102.88,345.82,1,36,7.301029996
297.36,3.06,2,6,3,89.85,179.01,0,22,5.777283529
293.34,2.63,3,3,6,86.96,176.55,0,20,4.0
653.79,3.62,2,12,9,129.86,393.58,2,48,8.107905397
450.97,4.47,1,7,7,82.09,271.2,0,32,5.860001342
369.22,4.26,2,4,4,66.91,221.7,0,23,9.15490196
491.6,6.0,3,7,5,110.75,295.93,1,37,6.694648631
306.29,4.34,2,3,2,53.6,184.4,0,22,5.721246399
444.52,5.68,1,8,6,78.39,267.55,1,32,7.200659451
650.1,6.41,2,7,6,93.7,391.1,2,46,7.698970004
473.99,4.9,2,8,8,105.57,285.02,0,32,6.0
581.51,5.93,3,10,8,109.35,349.51,2,40,9.301029996
499.48,5.16,3,9,4,123.0,300.68,1,37,6.4015378
239.23,2.93,0,4,2,60.96,144.02,0,18,4.397940009
347.54,1.85,3,6,4,87.5,209.07,0,24,6.292429824
469.42,6.11,2,5,6,81.71,282.61,1,34,6.301029996
359.31,4.2,2,4,3,79.8,216.32,0,26,7.549289122
